Origin,originId,Destination,destinationId,carCost
Llandrindod_Wells,27,Holyhead,19,3
Llandrindod_Wells,27,Aberystwyth,26,1
Liverpool,28,Holyhead,19,2
Liverpool,28,Manchester,29,1
Liverpool,28,Leeds,22,2
Liverpool,28,Barrow,20,1
Manchester,29,Liverpool,28,1
Manchester,29,Llandrindod_Wells,27,3
Manchester,29,Birmingham,35,2
Manchester,29,Leeds,22,1
Nottingham,30,Birmingham,35,1
Nottingham,30,Northampton,36,1
Nottingham,30,Cambridge,37,2
Nottingham,30,Norwich,31,4
Nottingham,30,Hull,23,2
Nottingham,30,Leeds,22,2
Norwich,31,Nottingham,30,4
Norwich,31,Cambridge,37,2
Norwich,31,Ipswich,38,1
Norwich,31,Hull,23,4
Penzance,32,Plymouth,39,3
Penzance,32,Plymouth,39,2
Penzance,32,Cardiff,34,5
Penzance,32,Cork,24,6
Carmarthen,33,Rosslare,25,4
Carmarthen,33,Cardiff,34,1
Carmarthen,33,Aberystwyth,26,1
Cardiff,34,Penzance,32,5
Cardiff,34,Bristol,40,1
Cardiff,34,Birmingham,35,3
Cardiff,34,Llandrindod_Wells,27,1
Cardiff,34,Carmarthen,33,1
Birmingham,35,Cardiff,34,3
Birmingham,35,Reading,41,2
Birmingham,35,Northampton,36,1
Birmingham,35,Nottingham,30,1
Birmingham,35,Manchester,29,2
Birmingham,35,Llandrindod_Wells,27,2
Northampton,36,Birmingham,35,1
Northampton,36,Reading,41,1
Northampton,36,London,42,1
Northampton,36,Cambridge,37,1
Northampton,36,Nottingham,30,1
Cambridge,37,Northampton,36,1
Cambridge,37,London,42,1
Cambridge,37,Ipswich,38,1
Cambridge,37,Norwich,31,2
Cambridge,37,Nottingham,30,2
Ipswich,38,London,42,1
Ipswich,38,Norwich,31,1
Ipswich,38,Cambridge,37,1
Plymouth,39,Penzance,32,2
Plymouth,39,Penzance,32,3
Plymouth,39,Southampton,43,5
Plymouth,39,Bristol,40,3
Bristol,40,Plymouth,39,3
Bristol,40,Southampton,43,2
Bristol,40,Reading,41,2
Bristol,40,Cardiff,34,1
Reading,41,Bristol,40,2
Reading,41,Southampton,43,1
Reading,41,London,42,1
Reading,41,Northampton,36,1
Reading,41,Birmingham,35,2
London,42,Reading,41,1
London,42,Southampton,43,2
London,42,Brighton,44,1
London,42,Dover,45,2
London,42,Ipswich,38,1
London,42,Cambridge,37,1
London,42,Northampton,36,1
Southampton,43,Plymouth,39,5
Southampton,43,France,46,3
Southampton,43,Brighton,44,1
Southampton,43,London,42,2
Southampton,43,Reading,41,1
Southampton,43,Bristol,40,2
Brighton,44,Southampton,43,1
Brighton,44,Dover,45,2
Brighton,44,London,42,1
Dover,45,Brighton,44,2
Dover,45,France,46,2
Dover,45,London,42,2
France,46,Southampton,43,3
France,46,Dover,45,2
